,Link,Deity,Language,Raga,Beat,Level,Tempo,file_name
46,http://dl.radiosai.org/MBV_2006_02_27M_07_DEVI_ATP_MATA_RANI_TERI_JAI_JAI_KAR.mp3,Devi,Hindi,Chakravakam / Ahir Bhairav,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/733e1752655574c57748e16ea715333748f8f4ca.mp3
47,http://dl.radiosai.org/BV_HONG_KONG_2003_04_EK_BAAR_KSHAMA.mp3,Sai,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Simple,Medium,data/raw/bhajans_audio/a86e743590a2c318d522606eb924c7ba741f6a0c.mp3
48,http://dl.radiosai.org/MBV_2010_10_27_04_SARVA_DHARMA_TUM_BIN_PRAN_NAHIN_O_SAI_MERE.mp3,Sarva Dharma,Hindi,Shubha Pantuvarali / Miyan ki Todi,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/55471a6af0810f5fa951b41d1c9eefa711ac3632.mp3
49,http://sairhythms.org/sites/default/files/pages/songs/recordings/published/RamaKahoSai.mp3,Sarva Dharma,Hindi,~ Natabhairavi,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/d99a097bad87bb6e6732fb444af9fd60b27895d6.mp3
50,http://dl.radiosai.org/MBV_2007_02_25_05_SARVA_DHARMA_RAM_KAHO_KRISHNA_KAHO.mp3,Sarva Dharma,Hindi,Mohanam / Bhoop,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/6d4a00bf86a3008a9346ba34b93fbd46ccda77f8.mp3
51,http://dl.radiosai.org/BV_S_CD_009_18_BHAGAWAN_PREMA_MUDITA.mp3,Rama,Hindi,Darbari,6 Beat / Dadra,Intermediate,Medium Slow,data/raw/bhajans_audio/184af9b806762f456e56b1b8abf0f19fafadc4ac.mp3
52,http://dl.radiosai.org/MBV_2003_08_24_07_KRISHNA_NARAYANA_HARI_NAM_BHAJO_RE.mp3,Narayana,Hindi,Mishra Maand,8 Beat / Keherwa / Adi,Advanced,Medium Fast,data/raw/bhajans_audio/e9bfb93027ec5eef939392e3aca56bc705a4f7d1.mp3
53,http://dl.radiosai.org/MBV_2007_04_24M_07_RAMA_KRISHNA_KAB_LOGE_KHABAR.mp3,Sai,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Intermediate,Medium,data/raw/bhajans_audio/dfd4b51133ad4397c1051a94180370f1e9aeb33c.mp3
54,http://dl.radiosai.org/MBV_2010_10_02_14_SAI_O_BHAGAWAN_2.mp3,Sai,Hindi,~ Charukeshi,8 Beat / Keherwa / Adi,Intermediate,Medium Slow,data/raw/bhajans_audio/09c6249f256b31748496ce8f5374907b96c6ebd1.mp3
55,http://dl.radiosai.org/BV_S_CD002_E07_SHIVA_TRIPURARI_SHIVA_SHANKARA.mp3,Shiva,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Simple,Medium,data/raw/bhajans_audio/522c5366edb04515304f32dd912da265105e503d.mp3
56,http://dl.radiosai.org/MBV_02_06_26_NARAYANA_HEY_SHESHA_SHAYANA.mp3,Narayana,Hindi,Pilu,8 Beat / Keherwa / Adi,Simple,Fast,data/raw/bhajans_audio/172aa87baac266ebb5cd7a7e45ad8271b768a7b8.mp3
57,http://dl.radiosai.org/BV_OLD_STUDENTS_VOL16_03_SAI_TERE_SIVA_PRABHU.mp3,Sai,Hindi,~ Gavati,8 Beat / Keherwa / Adi,Intermediate,Medium Slow,data/raw/bhajans_audio/a75146ae6a0666678f43025785956fb95758fe12.mp3
58,http://dl.radiosai.org/MBV_2010_11_13_AKHANDA_BHAJAN_41_SARVA_DHARMA_SAI_NAMA_BOLO_GOVINDA_NAMA_BOLO.mp3,Sarva Dharma,Hindi,Charukeshi,6 Beat / Dadra,Intermediate,Fast,data/raw/bhajans_audio/b4097ed032611a096b4e9beb040189068f7331b0.mp3
59,http://s3-us-west-2.amazonaws.com/raagaboxmusic/media/music/000/000/301.mp3,Sai,Hindi,Bageshri,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/c9778beb30322e770bf525c86325c8a55b262c97.mp3
60,http://dl.radiosai.org/MBV_2013_10_28_02_SAI_CHARAN_SUKH_DAYI_MAN.mp3,Sai,Hindi,Natabhairavi,6 Beat / Dadra,Intermediate,Slow,data/raw/bhajans_audio/f2aeaa4ef00381160fd8f00d6c90782052eaf40b.mp3
61,http://sairhythms.org/sites/default/files/pages/songs/recordings/published/Shuklam%20Baradharam%20Bhajan.mp3,Ganesha,Hindi,Harikamboji,8 Beat / Keherwa / Adi,Simple,Medium Slow,data/raw/bhajans_audio/65b8c6b5b872b72860bd6baab4e5f239c0e2a25f.mp3
62,http://dl.radiosai.org/BV_I_AM_I_BHAGAWAN_RAM_JAYAM_RAGHURAM.mp3,Rama,Hindi,Abheri / Bhimpalas,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/451c53bec216e919815f99253031ea75f566e754.mp3
63,http://sssbalvikastn.org/sundaram_bhajan/audio/vol35/12%20DEVA%20DEVA%20MAHADEVA.mp3,Shiva,Hindi,Pantuvarali / Puriya Dhanashri,6 Beat / Dadra,Intermediate,Medium,data/raw/bhajans_audio/6a3151651c3c4f78163db463dc1d3d5300478f3a.mp3
64,http://dl.radiosai.org/MBV_2008_02_17_03_KRISHNA_HARI_2_SUMIRAN_HARI_2_BHAJOMAN.mp3,Narayana,Hindi,Mohanam / Bhoop,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/0b4cbc3d79e300334816092ccb97d4efa094267e.mp3
65,http://dl.radiosai.org/MBV_2003_08_10E_02_NARAYANA_DAYA_KARO_HE_DAYA_NIDHE.mp3,Sai,Hindi,Shubha Pantuvarali / Miyan ki Todi,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/b0f5a29038f5a792f8af7c9f5dc03c6dab387098.mp3
66,http://dl.radiosai.org/BV_I_AM_I_BHAGAWAN_CHANDA_KIRANA_KULA.mp3,Rama,Hindi,Atana,8 Beat / Keherwa / Adi,Advanced,Medium Fast,data/raw/bhajans_audio/45183a62c6f6a68ee4d18199a88deac540ee2a85.mp3
67,http://dl.radiosai.org/MBV_2007_04_09M_05_RAMA_KARUNA_SAMUDRA_SRI_RAMA.mp3,Rama,Hindi,Sindhu Bhairavi / Bhairavi,8 Beat / Keherwa / Adi,Simple,Medium Fast,data/raw/bhajans_audio/15f4c7051f1b8114574996c0b11c7c60abe0f3fe.mp3
68,http://dl.radiosai.org/MBV_2009_02_22_14_SHIVA_JAYA_HO_NATARAJ.mp3,Shiva,Hindi,Mayamalavagowla / Bhairav,8 Beat / Keherwa / Adi,Advanced,Medium Fast,data/raw/bhajans_audio/03650d18dc138c01b152e3ce628a7cd46778b460.mp3
69,http://dl.radiosai.org/BV_ABU_DHABI_004_SHEKAR_JAGO_JAGO_SHANKARA.mp3,Shiva,Hindi,Mishra Shivaranjani,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/c5886e3282b70c48ec07b64c85e8a3ff08522c2e.mp3
70,http://dl.radiosai.org/MBV_02_03_12_E_19_SHIVA_BHOLA_NATH_HARE_JAGADEESHA.mp3,Shiva,Hindi,Natabhairavi,8 Beat / Keherwa / Adi,Intermediate,Medium,data/raw/bhajans_audio/b14216b629f7a47c98a88627755c49eb32d2ccbc.mp3
71,http://dl.radiosai.org/BV_ABU_DHABI_008_SHANTI_RAGHAVA_RAGHUVARA_RAM_BHAJO_.mp3,Rama,Hindi,Shubha Pantuvarali / Miyan ki Todi,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/585d83c007698bd7b63b62cbf855b4fb865e64c6.mp3
72,http://dl.radiosai.org/MBV_2003_07_25_09_RAMA_RAMA_RAMA_SAI_RAMA.mp3,Rama,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Simple,Fast,data/raw/bhajans_audio/19a11931873a432293421a8645dbedaec51d8a1f.mp3
73,http://dl.radiosai.org/MBV_2008_01_10_10_RAMA_SUMIR_MAN.mp3,Rama,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/280841cb9f799e70205e3111bb4854386d0cc0e5.mp3
74,http://dl.radiosai.org/MBV_2008_03_07_05_SARVA_NAMA_SWAROOPAM_SAI_BABA.mp3,Sai,Hindi,Tilang,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/2533dde5aa1b185814ba04f75ffa054001035d86.mp3
75,http://sairhythms.org/sites/default/files/pages/songs/recordings/published/NandiVahana.mp3,Shiva,Hindi,Khamaj,8 Beat / Keherwa / Adi,Advanced,Medium Fast,data/raw/bhajans_audio/7d3cee0c4c031b0aa60eb3ba19ef9d2cb3b32410.mp3
76,http://dl.radiosai.org/MBV_2009_03_26_12_SHIVA_SHIVA_SHAMBHO_MAHESHA_GIRISHA.mp3,Shiva,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Intermediate,Medium,data/raw/bhajans_audio/faea65b1a35bdc006ac97b9ae16172be96f57f77.mp3
77,http://dl.radiosai.org/MBV_2013_09_07_08_DEVI_JAGADODHARINI_MATA_DURGA.mp3,Devi,Hindi,Shankara,8 Beat / Keherwa / Adi,Intermediate,Medium,data/raw/bhajans_audio/ec66579d0cd13e5c398c49f3f8bbf8bb0baaca4e.mp3
78,http://dl.radiosai.org/BV_S_CD_009_16_BHAGAWAN_RAMA_KODANDA_RAMA.mp3,Rama,Telugu,Bhairavi,8 Beat / Keherwa / Adi,Advanced,Medium Fast,data/raw/bhajans_audio/05dd47fe1ded708034c255b1d3582a4b184d40fd.mp3
79,http://dl.radiosai.org/MBV_2010_11_02_25_RAMA_RAMACHANDRA_RAGHUVEERA_P.mp3,Rama,Hindi,Darbari,8 Beat / Keherwa / Adi,Advanced,Fast,data/raw/bhajans_audio/1cb99ce86fcba19aef6640c0605745d84ced2fa3.mp3
80,http://dl.radiosai.org/MBV_2010_11_05_05_SATHYA_SAI_SMARANAM_2_P.mp3,"Sai, Guru",Hindi,Sindhu Bhairavi / Bhairavi,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/ac9eae7fde2deb97d4892fa4723390fcd5f740cc.mp3
81,http://dl.radiosai.org/MBV_02_03_16_01_GANESHA_PRATHAMA_VANDANA.mp3,Ganesha,Hindi,Shubha Pantuvarali / Miyan ki Todi,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/ced69c9dc2fe0f817bf67b58361d412dc589d40c.mp3
82,http://dl.radiosai.org/MBV_2013_11_10_AKHANDA_BHAJAN_28_RAMA_ATP_RAMA_SAI_RAMA_SAI_RAMA_SAI_RAM.mp3,Rama,Hindi,Brindavan Sarang,8 Beat / Keherwa / Adi,Advanced,Medium Fast,data/raw/bhajans_audio/a14fed4f5a52ae7d03f6155a661d6a19b2c152cc.mp3
83,http://s3-us-west-2.amazonaws.com/raagaboxmusic/media/music/000/009/9408.mp3,Devi,Hindi,Shuddha Saveri / Durga,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/0e6cc8385010fb26b5d0dc31f3609a5981fd52f5.mp3
84,http://dl.radiosai.org/MBV_2010_12_02_19_HANUMAN_JAI_2_HANUMA_JAYA_HANUMA.mp3,Anjaneya,Hindi,Abheri / Bhimpalas,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/cee7b73d6cb9682c5ef846542bd5a9bd99b47883.mp3
85,http://dl.radiosai.org/MBV_2008_02_20_16_DASARATHA_NANDANA_RAMA_DAYA_SAGARA_RAMA.mp3,Rama,Hindi,Desh,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/9362034f973f493ae20cd27c17c5c83ee65fe663.mp3
86,http://dl.radiosai.org/MBV_02_03_12_E_36_SHIVA_NIRUPAMA_GUNA_SADANA.mp3,Sai,Hindi,Mayamalavagowla / Bhairav,8 Beat / Keherwa / Adi,Intermediate,Fast,data/raw/bhajans_audio/bda9d86453e3e68edc9741225041a804429849d5.mp3
87,http://dl.radiosai.org/MBV_BHAGAWAN_GOVINDAM_BHAJA_MUDHAMATE_04.mp3,Krishna,Hindi,Sindhu Bhairavi / Bhairavi,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/af5ee5382cd114f7817e14106b460999ffc1958e.mp3
88,http://dl.radiosai.org/BV_BRINDAVAN_BHAJANS_KAN02_31_HANUMAN_ANJANAA_SUTA.mp3,Anjaneya,Hindi,Maand,8 Beat / Keherwa / Adi,Simple,Medium,data/raw/bhajans_audio/b7ae7aec9699eaa3f4a9affb97622daf52b31f84.mp3
89,http://dl.radiosai.org/BV_SAI_KARUNA_02_KARUNAMAYA_KARTHIKEYA.mp3,Subramanya,Hindi,Valaji / Kalavati,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/854b14ba617244b04d5c37f8b8a65d7b34e96cad.mp3
90,http://dl.radiosai.org/MBV_2003_07_27_04_RAMA_SITA_RAMA_SRI_RAGHU_RAMA.mp3,Rama,Hindi,Yaman Kalyan,8 Beat / Keherwa / Adi,Intermediate,Medium,data/raw/bhajans_audio/5238282ca66643916117ff23ace9672b4d9c7345.mp3
91,http://dl.radiosai.org/MBV_2008_02_29_06_DASARATHA_NANDANA_RAMA_DAYA_SAGARA_RAMA.mp3,Rama,Hindi,Desh,8 Beat / Keherwa / Adi,Advanced,Medium Fast,data/raw/bhajans_audio/0e7fdb621d0234752a7e10ccbbd1cbe08e1bb056.mp3
